CROP_TYPE,SOIL_TYPE,REGION,TEMPERATURE,WEATHER_CONDITION,WATER_REQUIREMENT
BANANA,HUMID,SEMI HUMID,20-30,RAINY,0.2
BANANA,HUMID,SEMI HUMID,30-40,NORMAL,6.5
BANANA,HUMID,SEMI HUMID,30-40,SUNNY,8.1
BANANA,HUMID,SEMI HUMID,30-40,WINDY,7.5
BANANA,HUMID,SEMI HUMID,30-40,RAINY,0.5
BANANA,HUMID,SEMI HUMID,40-50,NORMAL,7.5
BANANA,HUMID,SEMI HUMID,40-50,SUNNY,9
BANANA,HUMID,SEMI HUMID,40-50,WINDY,8.5
BANANA,HUMID,SEMI HUMID,40-50,RAINY,0.8
BANANA,HUMID,HUMID,Oct-20,NORMAL,3.65
BANANA,HUMID,HUMID,Oct-20,SUNNY,5.15
BANANA,HUMID,HUMID,Oct-20,WINDY,4.65
BANANA,HUMID,HUMID,Oct-20,RAINY,0.1
BANANA,HUMID,HUMID,20-30,NORMAL,4.65
BANANA,HUMID,HUMID,20-30,SUNNY,6.15
BANANA,HUMID,HUMID,20-30,WINDY,5.65
BANANA,HUMID,HUMID,20-30,RAINY,0.2
BANANA,HUMID,HUMID,30-40,NORMAL,5
BANANA,HUMID,HUMID,30-40,SUNNY,6.5
BANANA,HUMID,HUMID,30-40,WINDY,6
BANANA,HUMID,HUMID,30-40,RAINY,0.3
BANANA,HUMID,HUMID,40-50,NORMAL,5.15
BANANA,HUMID,HUMID,40-50,SUNNY,6.65
BANANA,HUMID,HUMID,40-50,WINDY,6.2
BANANA,HUMID,HUMID,40-50,RAINY,0.2
BANANA,WET,DESERT,Oct-20,NORMAL,5.15
BANANA,WET,DESERT,Oct-20,SUNNY,6.65
BANANA,WET,DESERT,Oct-20,WINDY,6.15
BANANA,WET,DESERT,Oct-20,RAINY,0.2
BANANA,WET,DESERT,20-30,NORMAL,6.15
BANANA,WET,DESERT,20-30,SUNNY,7.65
BANANA,WET,DESERT,20-30,WINDY,7.15
BANANA,WET,DESERT,20-30,RAINY,0.3
BANANA,WET,DESERT,30-40,NORMAL,7.15
BANANA,WET,DESERT,30-40,SUNNY,8.65
BANANA,WET,DESERT,30-40,WINDY,8.1
BANANA,WET,DESERT,30-40,RAINY,0.8
BANANA,WET,DESERT,40-50,NORMAL,8.15
BANANA,WET,DESERT,40-50,SUNNY,9.65
BANANA,WET,DESERT,40-50,WINDY,9.15
BANANA,WET,DESERT,40-50,RAINY,0.15
BANANA,WET,SEMI ARID,Oct-20,NORMAL,4.37
BANANA,WET,SEMI ARID,Oct-20,SUNNY,5.87
BANANA,WET,SEMI ARID,Oct-20,WINDY,5.3
BANANA,WET,SEMI ARID,Oct-20,RAINY,0.1
BANANA,WET,SEMI ARID,20-30,NORMAL,5.3
BANANA,WET,SEMI ARID,20-30,SUNNY,6.8
BANANA,WET,SEMI ARID,20-30,WINDY,6.3
BANANA,WET,SEMI ARID,20-30,RAINY,0.2
BANANA,WET,SEMI ARID,30-40,NORMAL,6.3
BANANA,WET,SEMI ARID,30-40,SUNNY,7.8
BANANA,WET,SEMI ARID,30-40,WINDY,7.3
BANANA,WET,SEMI ARID,30-40,RAINY,0.3
BANANA,WET,SEMI ARID,40-50,NORMAL,7.2
BANANA,WET,SEMI ARID,40-50,SUNNY,8.7
BANANA,WET,SEMI ARID,40-50,WINDY,8.2
BANANA,WET,SEMI ARID,40-50,RAINY,0.8
BANANA,WET,SEMI HUMID,Oct-20,NORMAL,3.345
BANANA,WET,SEMI HUMID,Oct-20,SUNNY,4.85
BANANA,WET,SEMI HUMID,Oct-20,WINDY,4.4
BANANA,WET,SEMI HUMID,Oct-20,RAINY,0.1
BANANA,WET,SEMI HUMID,20-30,NORMAL,4.4
BANANA,WET,SEMI HUMID,20-30,SUNNY,5.9
BANANA,WET,SEMI HUMID,20-30,WINDY,5.4
BANANA,WET,SEMI HUMID,20-30,RAINY,0.1
BANANA,WET,SEMI HUMID,30-40,NORMAL,5.54
BANANA,WET,SEMI HUMID,30-40,SUNNY,7.04
BANANA,WET,SEMI HUMID,30-40,WINDY,6.5
BANANA,WET,SEMI HUMID,30-40,RAINY,0.2
BANANA,WET,SEMI HUMID,40-50,NORMAL,6.52
BANANA,WET,SEMI HUMID,40-50,SUNNY,8.02
BANANA,WET,SEMI HUMID,40-50,WINDY,7.5
BANANA,WET,SEMI HUMID,40-50,RAINY,0.3
BANANA,WET,HUMID,Oct-20,NORMAL,2.06
BANANA,WET,HUMID,Oct-20,SUNNY,3.56
BANANA,WET,HUMID,Oct-20,WINDY,3
BANANA,WET,HUMID,Oct-20,RAINY,0.1
BANANA,WET,HUMID,20-30,NORMAL,3
BANANA,WET,HUMID,20-30,SUNNY,4.5
BANANA,WET,HUMID,20-30,WINDY,4
BANANA,WET,HUMID,20-30,RAINY,0.1
BANANA,WET,HUMID,30-40,NORMAL,4.1
BANANA,WET,HUMID,30-40,SUNNY,5.6
BANANA,WET,HUMID,30-40,WINDY,5.1
BANANA,WET,HUMID,30-40,RAINY,0.1
BANANA,WET,HUMID,40-50,NORMAL,5.15
BANANA,WET,HUMID,40-50,SUNNY,6.65
BANANA,WET,HUMID,40-50,WINDY,6.15
BANANA,WET,HUMID,40-50,RAINY,0.2
SOYABEAN,DRY,DESERT,Oct-20,NORMAL,6.97
SOYABEAN,DRY,DESERT,Oct-20,SUNNY,8.47
SOYABEAN,DRY,DESERT,Oct-20,WINDY,7.8
SOYABEAN,DRY,DESERT,Oct-20,RAINY,0.2
SOYABEAN,DRY,DESERT,20-30,NORMAL,7.9
SOYABEAN,DRY,DESERT,20-30,SUNNY,9.4
SOYABEAN,DRY,DESERT,20-30,WINDY,8.9
SOYABEAN,DRY,DESERT,20-30,RAINY,0.8
SOYABEAN,DRY,DESERT,30-40,NORMAL,8.8
SOYABEAN,DRY,DESERT,30-40,SUNNY,10.3
SOYABEAN,DRY,DESERT,30-40,WINDY,9.8
SOYABEAN,DRY,DESERT,30-40,RAINY,0.8
SOYABEAN,DRY,DESERT,40-50,NORMAL,9.95
SOYABEAN,DRY,DESERT,40-50,SUNNY,11.45
SOYABEAN,DRY,DESERT,40-50,WINDY,10.95
SOYABEAN,DRY,DESERT,40-50,RAINY,1.95
SOYABEAN,DRY,SEMI ARID,Oct-20,NORMAL,7.98
SOYABEAN,DRY,SEMI ARID,Oct-20,SUNNY,9.48
SOYABEAN,DRY,SEMI ARID,Oct-20,WINDY,8.9
SOYABEAN,DRY,SEMI ARID,Oct-20,RAINY,0.8
SOYABEAN,DRY,SEMI ARID,20-30,NORMAL,8.6
SOYABEAN,DRY,SEMI ARID,20-30,SUNNY,10.1
SOYABEAN,DRY,SEMI ARID,20-30,WINDY,9.6
SOYABEAN,DRY,SEMI ARID,20-30,RAINY,0.6
SOYABEAN,DRY,SEMI ARID,30-40,NORMAL,9.8
SOYABEAN,DRY,SEMI ARID,30-40,SUNNY,11.3
SOYABEAN,DRY,SEMI ARID,30-40,WINDY,10.8
SOYABEAN,DRY,SEMI ARID,30-40,RAINY,1.8
SOYABEAN,DRY,SEMI ARID,40-50,NORMAL,10.95
SOYABEAN,DRY,SEMI ARID,40-50,SUNNY,12.45
SOYABEAN,DRY,SEMI ARID,40-50,WINDY,11.8
SOYABEAN,DRY,SEMI ARID,40-50,RAINY,2.8
SOYABEAN,DRY,SEMI HUMID,Oct-20,NORMAL,5.53
SOYABEAN,DRY,SEMI HUMID,Oct-20,SUNNY,7.03
SOYABEAN,DRY,SEMI HUMID,Oct-20,WINDY,6.5
SOYABEAN,DRY,SEMI HUMID,Oct-20,RAINY,0.1
SOYABEAN,DRY,SEMI HUMID,20-30,NORMAL,6.5
SOYABEAN,DRY,SEMI HUMID,20-30,SUNNY,8
SOYABEAN,DRY,SEMI HUMID,20-30,WINDY,7.5
SOYABEAN,DRY,SEMI HUMID,20-30,RAINY,0.5
SOYABEAN,DRY,SEMI HUMID,30-40,NORMAL,7.6
SOYABEAN,DRY,SEMI HUMID,30-40,SUNNY,9
SOYABEAN,DRY,SEMI HUMID,30-40,WINDY,8.6
SOYABEAN,DRY,SEMI HUMID,30-40,RAINY,0.8
SOYABEAN,DRY,SEMI HUMID,40-50,NORMAL,8.55
SOYABEAN,DRY,SEMI HUMID,40-50,SUNNY,10.05
SOYABEAN,DRY,SEMI HUMID,40-50,WINDY,9.5
SOYABEAN,DRY,SEMI HUMID,40-50,RAINY,0.55
SOYABEAN,DRY,HUMID,Oct-20,NORMAL,4.51
SOYABEAN,DRY,HUMID,Oct-20,SUNNY,6.01
SOYABEAN,DRY,HUMID,Oct-20,WINDY,5.51
SOYABEAN,DRY,HUMID,Oct-20,RAINY,0.1
SOYABEAN,DRY,HUMID,20-30,NORMAL,5.5
SOYABEAN,DRY,HUMID,20-30,SUNNY,7
SOYABEAN,DRY,HUMID,20-30,WINDY,6.5
SOYABEAN,DRY,HUMID,20-30,RAINY,0.2
SOYABEAN,DRY,HUMID,30-40,NORMAL,6.5
SOYABEAN,DRY,HUMID,30-40,SUNNY,8
SOYABEAN,DRY,HUMID,30-40,WINDY,7.5
SOYABEAN,DRY,HUMID,30-40,RAINY,0.2
SOYABEAN,DRY,HUMID,40-50,NORMAL,7.8
SOYABEAN,DRY,HUMID,40-50,SUNNY,9.3
SOYABEAN,DRY,HUMID,40-50,WINDY,8.8
SOYABEAN,DRY,HUMID,40-50,RAINY,0.8
SOYABEAN,HUMID,DESERT,Oct-20,NORMAL,5.33
SOYABEAN,HUMID,DESERT,Oct-20,SUNNY,6.83
SOYABEAN,HUMID,DESERT,Oct-20,WINDY,6.33
SOYABEAN,HUMID,DESERT,Oct-20,RAINY,0.5
SOYABEAN,HUMID,DESERT,20-30,NORMAL,6.2
SOYABEAN,HUMID,DESERT,20-30,SUNNY,7.7
SOYABEAN,HUMID,DESERT,20-30,WINDY,7.2
SOYABEAN,HUMID,DESERT,20-30,RAINY,0.8
SOYABEAN,HUMID,DESERT,30-40,NORMAL,7.4
SOYABEAN,HUMID,DESERT,30-40,SUNNY,8.9
SOYABEAN,HUMID,DESERT,30-40,WINDY,8.4
SOYABEAN,HUMID,DESERT,30-40,RAINY,0.8
SOYABEAN,HUMID,DESERT,40-50,NORMAL,8.34
SOYABEAN,HUMID,DESERT,40-50,SUNNY,9.85
SOYABEAN,HUMID,DESERT,40-50,WINDY,7.35
SOYABEAN,HUMID,DESERT,40-50,RAINY,0.34
SOYABEAN,HUMID,SEMI ARID,Oct-20,NORMAL,4.71
SOYABEAN,HUMID,SEMI ARID,Oct-20,SUNNY,6.21
SOYABEAN,HUMID,SEMI ARID,Oct-20,WINDY,5.71
SOYABEAN,HUMID,SEMI ARID,Oct-20,RAINY,0.1
SOYABEAN,HUMID,SEMI ARID,20-30,NORMAL,5.8
SOYABEAN,HUMID,SEMI ARID,20-30,SUNNY,7.3
SOYABEAN,HUMID,SEMI ARID,20-30,WINDY,6.8
SOYABEAN,HUMID,SEMI ARID,20-30,RAINY,0.2
SOYABEAN,HUMID,SEMI ARID,30-40,NORMAL,6.6
SOYABEAN,HUMID,SEMI ARID,30-40,SUNNY,8.1
SOYABEAN,HUMID,SEMI ARID,30-40,WINDY,7.6
SOYABEAN,HUMID,SEMI ARID,30-40,RAINY,0.5
SOYABEAN,HUMID,SEMI ARID,40-50,NORMAL,7.9
SOYABEAN,HUMID,SEMI ARID,40-50,SUNNY,9.4
SOYABEAN,HUMID,SEMI ARID,40-50,WINDY,8.9
SOYABEAN,HUMID,SEMI ARID,40-50,RAINY,0.6
SOYABEAN,HUMID,SEMI HUMID,Oct-20,NORMAL,3.9
SOYABEAN,HUMID,SEMI HUMID,Oct-20,SUNNY,5.4
SOYABEAN,HUMID,SEMI HUMID,Oct-20,WINDY,4.9
SOYABEAN,HUMID,SEMI HUMID,Oct-20,RAINY,0.1
SOYABEAN,HUMID,SEMI HUMID,20-30,NORMAL,4.9
SOYABEAN,HUMID,SEMI HUMID,20-30,SUNNY,6.4
SOYABEAN,HUMID,SEMI HUMID,20-30,WINDY,5.9
SOYABEAN,HUMID,SEMI HUMID,20-30,RAINY,0.1
SOYABEAN,HUMID,SEMI HUMID,30-40,NORMAL,5.8
SOYABEAN,HUMID,SEMI HUMID,30-40,SUNNY,7.3
SOYABEAN,HUMID,SEMI HUMID,30-40,WINDY,6.8
SOYABEAN,HUMID,SEMI HUMID,30-40,RAINY,0.3
SOYABEAN,HUMID,SEMI HUMID,40-50,NORMAL,6.7
SOYABEAN,HUMID,SEMI HUMID,40-50,SUNNY,8.2
SOYABEAN,HUMID,SEMI HUMID,40-50,WINDY,7.7
SOYABEAN,HUMID,SEMI HUMID,40-50,RAINY,0.4
SOYABEAN,HUMID,HUMID,Oct-20,NORMAL,2.8
SOYABEAN,HUMID,HUMID,Oct-20,SUNNY,4.3
SOYABEAN,HUMID,HUMID,Oct-20,WINDY,3.8
SOYABEAN,HUMID,HUMID,Oct-20,RAINY,0.1
SOYABEAN,HUMID,HUMID,20-30,NORMAL,3.7
SOYABEAN,HUMID,HUMID,20-30,SUNNY,5.2
SOYABEAN,HUMID,HUMID,20-30,WINDY,4.7
SOYABEAN,HUMID,HUMID,20-30,RAINY,0.1
SOYABEAN,HUMID,HUMID,30-40,NORMAL,4.9
SOYABEAN,HUMID,HUMID,30-40,SUNNY,6.4
SOYABEAN,HUMID,HUMID,30-40,WINDY,5.9
SOYABEAN,HUMID,HUMID,30-40,RAINY,0.5
SOYABEAN,HUMID,HUMID,40-50,NORMAL,5.8
SOYABEAN,HUMID,HUMID,40-50,SUNNY,7.3
SOYABEAN,HUMID,HUMID,40-50,WINDY,6.8
SOYABEAN,HUMID,HUMID,40-50,RAINY,0.3
SOYABEAN,WET,DESERT,Oct-20,NORMAL,4.1
SOYABEAN,WET,DESERT,Oct-20,SUNNY,5.6
SOYABEAN,WET,DESERT,Oct-20,WINDY,5.1
SOYABEAN,WET,DESERT,Oct-20,RAINY,0.1
SOYABEAN,WET,DESERT,20-30,NORMAL,5.1
SOYABEAN,WET,DESERT,20-30,SUNNY,6.6
SOYABEAN,WET,DESERT,20-30,WINDY,6.1
SOYABEAN,WET,DESERT,20-30,RAINY,0.4
SOYABEAN,WET,DESERT,30-40,NORMAL,6.2
SOYABEAN,WET,DESERT,30-40,SUNNY,7.7
SOYABEAN,WET,DESERT,30-40,WINDY,7.2
SOYABEAN,WET,DESERT,30-40,RAINY,0.5
SOYABEAN,WET,DESERT,40-50,NORMAL,7.3
SOYABEAN,WET,DESERT,40-50,SUNNY,8.8
SOYABEAN,WET,DESERT,40-50,WINDY,8.3
SOYABEAN,WET,DESERT,40-50,RAINY,0.8
SOYABEAN,WET,SEMI ARID,Oct-20,NORMAL,3.5
SOYABEAN,WET,SEMI ARID,Oct-20,SUNNY,5
SOYABEAN,WET,SEMI ARID,Oct-20,WINDY,4.5
SOYABEAN,WET,SEMI ARID,Oct-20,RAINY,0.1
SOYABEAN,WET,SEMI ARID,20-30,NORMAL,4.6
SOYABEAN,WET,SEMI ARID,20-30,SUNNY,6.1
SOYABEAN,WET,SEMI ARID,20-30,WINDY,5.6
SOYABEAN,WET,SEMI ARID,20-30,RAINY,0.2
SOYABEAN,WET,SEMI ARID,30-40,NORMAL,5.7
SOYABEAN,WET,SEMI ARID,30-40,SUNNY,7.2
SOYABEAN,WET,SEMI ARID,30-40,WINDY,6.7
SOYABEAN,WET,SEMI ARID,30-40,RAINY,0.3
SOYABEAN,WET,SEMI ARID,40-50,NORMAL,6.6
SOYABEAN,WET,SEMI ARID,40-50,SUNNY,8.1
SOYABEAN,WET,SEMI ARID,40-50,WINDY,7.6
SOYABEAN,WET,SEMI ARID,40-50,RAINY,0.5
SOYABEAN,WET,SEMI HUMID,Oct-20,NORMAL,2.6
SOYABEAN,WET,SEMI HUMID,Oct-20,SUNNY,4.1
SOYABEAN,WET,SEMI HUMID,Oct-20,WINDY,3.6
SOYABEAN,WET,SEMI HUMID,Oct-20,RAINY,0.1
SOYABEAN,WET,SEMI HUMID,20-30,NORMAL,3.6
SOYABEAN,WET,SEMI HUMID,20-30,SUNNY,5.1
SOYABEAN,WET,SEMI HUMID,20-30,WINDY,4.6
SOYABEAN,WET,SEMI HUMID,20-30,RAINY,0.1
SOYABEAN,WET,SEMI HUMID,30-40,NORMAL,4.7
SOYABEAN,WET,SEMI HUMID,30-40,SUNNY,6.2
SOYABEAN,WET,SEMI HUMID,30-40,WINDY,5.7
SOYABEAN,WET,SEMI HUMID,30-40,RAINY,0.1
SOYABEAN,WET,SEMI HUMID,40-50,NORMAL,5.6
SOYABEAN,WET,SEMI HUMID,40-50,SUNNY,7.1
SOYABEAN,WET,SEMI HUMID,40-50,WINDY,6.6
SOYABEAN,WET,SEMI HUMID,40-50,RAINY,0.3
SOYABEAN,WET,HUMID,Oct-20,NORMAL,1.64
SOYABEAN,WET,HUMID,Oct-20,SUNNY,3.14
SOYABEAN,WET,HUMID,Oct-20,WINDY,2.6
SOYABEAN,WET,HUMID,Oct-20,RAINY,0.1
SOYABEAN,WET,HUMID,20-30,NORMAL,2.6
SOYABEAN,WET,HUMID,20-30,SUNNY,4.1
SOYABEAN,WET,HUMID,20-30,WINDY,3.6
SOYABEAN,WET,HUMID,20-30,RAINY,0.1
SOYABEAN,WET,HUMID,30-40,NORMAL,3.7
SOYABEAN,WET,HUMID,30-40,SUNNY,5.2
SOYABEAN,WET,HUMID,30-40,WINDY,4.6
SOYABEAN,WET,HUMID,30-40,RAINY,0.1
SOYABEAN,WET,HUMID,40-50,NORMAL,4.6
SOYABEAN,WET,HUMID,40-50,SUNNY,6.1
SOYABEAN,WET,HUMID,40-50,WINDY,5.6
SOYABEAN,WET,HUMID,40-50,RAINY,0.1
CABBAGE,DRY,DESERT,Oct-20,NORMAL,5.5
CABBAGE,DRY,DESERT,Oct-20,SUNNY,7
CABBAGE,DRY,DESERT,Oct-20,WINDY,6.5
CABBAGE,DRY,DESERT,Oct-20,RAINY,0.2
CABBAGE,DRY,DESERT,20-30,NORMAL,6.5
CABBAGE,DRY,DESERT,20-30,SUNNY,8
CABBAGE,DRY,DESERT,20-30,WINDY,7.5
CABBAGE,DRY,DESERT,20-30,RAINY,0.5
CABBAGE,DRY,DESERT,30-40,NORMAL,7
CABBAGE,DRY,DESERT,30-40,SUNNY,8.5
CABBAGE,DRY,DESERT,30-40,WINDY,8
CABBAGE,DRY,DESERT,30-40,RAINY,0.8
CABBAGE,DRY,DESERT,40-50,NORMAL,8.6
CABBAGE,DRY,DESERT,40-50,SUNNY,10.1
CABBAGE,DRY,DESERT,40-50,WINDY,9.6
CABBAGE,DRY,DESERT,40-50,RAINY,0.6
CABBAGE,DRY,SEMI ARID,Oct-20,NORMAL,5.05
CABBAGE,DRY,SEMI ARID,Oct-20,SUNNY,6.55
CABBAGE,DRY,SEMI ARID,Oct-20,WINDY,6.05
CABBAGE,DRY,SEMI ARID,Oct-20,RAINY,0.5
CABBAGE,DRY,SEMI ARID,20-30,NORMAL,6
CABBAGE,DRY,SEMI ARID,20-30,SUNNY,7.5
CABBAGE,DRY,SEMI ARID,20-30,WINDY,7
CABBAGE,DRY,SEMI ARID,20-30,RAINY,0.5
CABBAGE,DRY,SEMI ARID,30-40,NORMAL,7.1
CABBAGE,DRY,SEMI ARID,30-40,SUNNY,8.6
CABBAGE,DRY,SEMI ARID,30-40,WINDY,8.1
CABBAGE,DRY,SEMI ARID,30-40,RAINY,0.8
CABBAGE,DRY,SEMI ARID,40-50,NORMAL,8
CABBAGE,DRY,SEMI ARID,40-50,SUNNY,9.5
CABBAGE,DRY,SEMI ARID,40-50,WINDY,9
CABBAGE,DRY,SEMI ARID,40-50,RAINY,0.8
CABBAGE,DRY,SEMI HUMID,Oct-20,NORMAL,4.4
CABBAGE,DRY,SEMI HUMID,Oct-20,SUNNY,5.9
CABBAGE,DRY,SEMI HUMID,Oct-20,WINDY,5.5
CABBAGE,DRY,SEMI HUMID,Oct-20,RAINY,0.2
CABBAGE,DRY,SEMI HUMID,20-30,NORMAL,5.3
CABBAGE,DRY,SEMI HUMID,20-30,SUNNY,6.8
CABBAGE,DRY,SEMI HUMID,20-30,WINDY,6.3
CABBAGE,DRY,SEMI HUMID,20-30,RAINY,0.3
CABBAGE,DRY,SEMI HUMID,30-40,NORMAL,6.2
CABBAGE,DRY,SEMI HUMID,30-40,SUNNY,7.7
CABBAGE,DRY,SEMI HUMID,30-40,WINDY,7.2
CABBAGE,DRY,SEMI HUMID,30-40,RAINY,0.5
CABBAGE,DRY,SEMI HUMID,40-50,NORMAL,7.5
CABBAGE,DRY,SEMI HUMID,40-50,SUNNY,9
CABBAGE,DRY,SEMI HUMID,40-50,WINDY,8.5
CABBAGE,DRY,SEMI HUMID,40-50,RAINY,0.8
CABBAGE,DRY,HUMID,Oct-20,NORMAL,3.6
CABBAGE,DRY,HUMID,Oct-20,SUNNY,5.1
CABBAGE,DRY,HUMID,Oct-20,WINDY,4.6
CABBAGE,DRY,HUMID,Oct-20,RAINY,0.1
CABBAGE,DRY,HUMID,20-30,NORMAL,4.5
CABBAGE,DRY,HUMID,20-30,SUNNY,6
CABBAGE,DRY,HUMID,20-30,WINDY,5.5
CABBAGE,DRY,HUMID,20-30,RAINY,0.2
CABBAGE,DRY,HUMID,30-40,NORMAL,5.6
CABBAGE,DRY,HUMID,30-40,SUNNY,7.1
CABBAGE,DRY,HUMID,30-40,WINDY,6.6
CABBAGE,DRY,HUMID,30-40,RAINY,0.2
